rating,review_title,review_content,travel_date,legroom,seat_comfort,inflight_entertainment,customer_service,value_for_money,cleanliness,checkin_and_boarding,food_and_beverage
5,Qantas is back to being the queen of the skies in the world.,"We've always flown with Qantas throughout the years and they've always been good. This year after recent reports of major turbulence up in the sky from different airlines around the world; my partner and I were more cautious. However, during flights from Melbourne to Narita and Narita to Melbourne after those incidences, we were surprised how the airlines quick response and changes on how they run their flights. We went through numerous minor turbulences and during those times the team kept us informed and kept everyone (incl. the staff) safe, by keeping everyone seated. Also, the food were great and warm. Lastly, the staff were nice and our whole journey with them were smooth and pleasant.",May 2024,4,4,5,5,4,4,5,5
1,Very bad airlines and service,Very bad airlines we had booked for my parents and had asked for assistance. They did not give for both flights also their flights get delayed almost always for which thay do not provide any later arrangements. After 10 for domestic and after 11 for international they do not even provide bus assistance to commute from domestic to international. My feedback is to never book this airline,June 2024,3,2,1,1,1,2,1,3
4,Enjoyable experience,Woke up early to enjoy being a platinum member by visiting the lounge. Boarded on time and everything was smooth.Was a little disappointed with no screens on the seat. Takeoff was fine and the service was great.Got a granola bar with a drink.It was all fine until we had a bit of turbulence and we kept on changing altitudes. Landing was fine and my only advice is get screens on all your 737s.,March 2024,4,4,2,5,4,5,5,4
4,Has Qantas regained it's international mojo?,"Great flight. A380 was full. Crew were pleasant, helpful and efficient. Meals were tasty and choices were available. The days of the nonchalant cabin crew seemed to have disappeared.",March 2024,4,4,5,4,4,5,3,4
1,Never book with quanta’s again,I’ll never book for quantas again .. I thought they r good in Australia that’s why it’s abit expensive and no… it’s ridiculous for us to wait at Launceston airport for seven hours with our four month old baby to go to Sydney .. no compensation for it absolutely ridiculous,June 2024,-1,-1,-1,-1,-1,-1,-1,-1
1,Consistently unreliable,"Was booked Qantas Townsville to Cairns, then rest of flight was airnorth. Two hours before flight I received txt stating my Tsv CNS flight was cancelled & they'd send new flight details. They then booked me Tsv- Brisbane, brisbane,- Melbourne; melb to darwin. This is certainly not the first time I've had to go via this or similar route to what is normally a 2 .5 hour flight. You never know if or when your booked Qantas flights will eventuate. They are extremely unreliable.",April 2024,1,2,1,1,1,2,2,1
1,Poor Hotline Customer Service,"What happened was I booked my return flight from Singapore to Melbourne in Dec 2023. Just before flight in June 2024, there was change of aircraft type, which affected my selection of seat for both forward and return flights, which I paid for $40 per trip, so total $80.

No one from Qantas informed me about the change of fleet and hence, my seat booking became invalid. Qantas allocated my seat to other site, without any consultation and still charged me $80 for the seat selection.

Called the hotline and the customer service officer insisted that I booked the changed seats, without bothering to check and return call, even though I tried very hard to explain the situation. Before we could reach a resolution, she cut off my call abruptly. It was pure insult and poor, unprofessional customer service.",June 2024,3,3,4,1,3,3,3,4
5,THE BEST EXPERIENCE,"What can I say? I left Perth with my husband the 4th of June (noon) and EVERYTHING was absolutely perfect. On time, good food (with a vegetarian option), they offered us ice cream and tons of snacks. We landed safely in Singapore, ready for Dubai. Thanks Qantas",June 2024,4,4,4,5,5,4,5,4
3,Cramped in seat 9C,"Special thanks to service staff and crew for assisting my wife. Boeing 737, seats 9B & 9C, no window, cramped, first occasion in seven flight that there was insufficient room to lay the table flat, hence I had to forego the meal, although I did enjoy a glass of wine. Memo to passengers, you need to be no more than 80kg to enjoy a comfortable flight in these seats, not sure why there is no window adjacent 9A. Inflight service ok, my wife enjoyed her meal and drinks. Good communications from cabin crew and the cockpit during the flight. Experienced some turbulence but not major. Perth Airport needs to improve efficiency with unloading and delivery of luggage to the carousel.",June 2024,-1,-1,-1,-1,-1,-1,-1,-1
4,Our introduction to the Embraer 190,"Checked in online and received great assistance with luggage at the airport, booking it through to final destination, Perth. Our first flight on the Embraer 190 with Qantas subsidiary, Alliance Airlines, pleasantly surprised with the roominess and comfort of seats 13A & 13B. Great cabin crew, pleasant and engaging throughout. Tasty morning snack serverd.",June 2024,4,2,3,4,4,5,5,-1
